bulan,tahun,jenis,kode_trayek,trayek,jumlah_penumpang
Januari,2019,BRT,1,KORIDOR 1,2223257
Januari,2019,BRT,2,KORIDOR 2,781605
Januari,2019,BRT,3,KORIDOR 3,9192
Januari,2019,BRT,4,KORIDOR 4,669417
Januari,2019,BRT,5,KORIDOR 5,890939
Januari,2019,BRT,6,KORIDOR 6,976411
Januari,2019,BRT,7,KORIDOR 7,872467
Januari,2019,BRT,8,KORIDOR 8,911731
Januari,2019,BRT,9,KORIDOR 9,1408962
Januari,2019,BRT,10,KORIDOR 10,737123
Januari,2019,BRT,11,KORIDOR 11,267869
Januari,2019,BRT,12,KORIDOR 12,208326
Januari,2019,BRT,13,KORIDOR 13,654831
Januari,2019,ANGKUTAN UMUM INTEGRASI,1A,BALAIKOTA - PIK,93208
Januari,2019,ANGKUTAN UMUM INTEGRASI,1B,ST PALMERAH - TOSARI,62726
Januari,2019,ANGKUTAN UMUM INTEGRASI,1F,ST PALMERAH - SENAYAN,33011
Januari,2019,ANGKUTAN UMUM INTEGRASI,1C,BLOK M - PESANGGARAHAN,44429
Januari,2019,ANGKUTAN UMUM INTEGRASI,1E,BLOK M - PONDOK LABU,94933
Januari,2019,ANGKUTAN UMUM INTEGRASI,1H,TANAH ABANG - GONDANGDIA,66742
Januari,2019,ANGKUTAN UMUM INTEGRASI,,TANAH ABANG - BLOK M,6973
Januari,2019,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,30102
Januari,2019,ANGKUTAN UMUM INTEGRASI,,SENEN - TANAH ABANG,351
Januari,2019,ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2933
Januari,2019,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,30808
Januari,2019,ANGKUTAN UMUM INTEGRASI,3E,CENTRAL LAND - PURI KEMBANGAN,20084
Januari,2019,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,21583
Januari,2019,ANGKUTAN UMUM INTEGRASI,4B,ST MANGGARAI - UI,190476
Januari,2019,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,15118
Januari,2019,ANGKUTAN UMUM INTEGRASI,4F,PULO GADUNG - PONDOK GEDE,115361
Januari,2019,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,36993
Januari,2019,ANGKUTAN UMUM INTEGRASI,5B,ST TEBET - BIDARA CINA,3884
Januari,2019,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,51805
Januari,2019,ANGKUTAN UMUM INTEGRASI,6C,ST TEBET - KARET,253604
Januari,2019,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - SENEN,117637
Januari,2019,ANGKUTAN UMUM INTEGRASI,6M,ST MANGGARAI - BLOK M,85123
Januari,2019,ANGKUTAN UMUM INTEGRASI,6N,BLOK M - RAGUNAN VIA KEMANG,85214
Januari,2019,ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,101146
Januari,2019,ANGKUTAN UMUM INTEGRASI,7B,BLOK M - KAMPUNG RAMBUTAN,58589
Januari,2019,ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,59773
Januari,2019,ANGKUTAN UMUM INTEGRASI,7E,RAGUNAN - RAMBUTAN,8435
Januari,2019,ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,80413
Januari,2019,ANGKUTAN UMUM INTEGRASI,8D,BLOK M - JOGLO,73632
